evaluated,hit_rate,hits,max_abs_SCAR,mean_abs_SCAR,median_abs_SCAR,run_id,scope,skipped
186,0.0967741935483871,18,6.107143258536974,0.8642511685233101,0.6411612347403961,78,all,0
131,0.16793893129770993,22,5.799280119074019,1.0811136792985767,0.6426561196993434,78,first_order,1
54,0.09259259259259259,5,7.402504941276007,0.9220204499852431,0.64135748622983,78,second_order,0
185,0.10270270270270271,19,6.691101557193222,0.9131607713559193,0.6277787234527006,79,all,1
132,0.08333333333333333,11,7.402504941276007,0.9163426024791648,0.630642059731716,79,first_order,0
54,0.09259259259259259,5,4.824738588056284,0.9821055520616195,0.8655540100024343,79,second_order,0
186,0.0967741935483871,18,5.799280119074019,0.8834708147246388,0.663317182018577,80,all,0
132,0.12878787878787878,17,5.293386789610306,0.9668447052859819,0.6256710470541678,80,first_order,0
54,0.09259259259259259,5,4.255759867545777,0.8699553928101266,0.71083807382579,80,second_order,0
186,0.10215053763440861,19,5.799280119074019,0.9652676820000216,0.7390309665339467,81,all,0
132,0.09848484848484848,13,5.164087683548203,0.9006307693548357,0.6023250956776128,81,first_order,0
54,0.037037037037037035,2,2.597125685326188,0.748967348318528,0.7432829406196595,81,second_order,0
185,0.0918918918918919,17,5.263562138717859,0.8952287058086854,0.6619937093074799,82,all,1
132,0.09848484848484848,13,7.402504941276007,0.9659661473308583,0.7177454111102137,82,first_order,0
53,0.09433962264150944,5,2.6765087628827327,0.8937748592523657,0.7642696760389518,82,second_order,1
185,0.0972972972972973,18,5.379663780555674,0.9498581259584423,0.6945225796211416,83,all,1
132,0.09090909090909091,12,5.185106371957386,0.8443068935004162,0.6437280084335073,83,first_order,0
54,0.1111111111111111,6,6.691101557193222,0.9503314044751708,0.5854850723428482,83,second_order,0
184,0.10869565217391304,20,5.185106371957386,0.9383160507109857,0.7320920698074647,84,all,2
131,0.1297709923664122,17,5.799280119074019,1.0063416589917236,0.8082821481198705,84,first_order,1
54,0.07407407407407407,4,4.182276018096301,0.9405771975662545,0.761533632739426,84,second_order,0
186,0.0913978494623656,17,5.185106371957386,0.844388034829477,0.5574259937886489,85,all,0
131,0.11450381679389313,15,5.379663780555674,0.9772930864906001,0.7451364526813546,85,first_order,1
53,0.07547169811320754,4,2.731211715402172,0.8607721914088795,0.7466839834638372,85,second_order,1
186,0.10752688172043011,20,5.185106371957386,0.8951084664434966,0.7049589548466375,86,all,0
132,0.09090909090909091,12,6.107143258536974,0.9329131030429272,0.71083807382579,86,first_order,0
54,0.05555555555555555,3,2.597125685326188,0.7588194760111372,0.6151119427673156,86,second_order,0
185,0.10270270270270271,19,5.379663780555674,0.895332442992744,0.6234294533997362,87,all,1
131,0.10687022900763359,14,6.107143258536974,0.9578232227735564,0.6246219015352161,87,first_order,1
54,0.14814814814814814,8,4.318129007165164,0.8766966396792979,0.569530460105194,87,second_order,0
184,0.11413043478260869,21,5.293386789610306,0.9313336316479536,0.7157203461844392,88,all,2
132,0.10606060606060606,14,4.824738588056284,0.9607404380920492,0.6477495526591057,88,first_order,0
54,0.07407407407407407,4,3.928708631946251,0.8292438562399024,0.6743412868607302,88,second_order,0
186,0.10215053763440861,19,5.263562138717859,0.9236252637503256,0.6838632618204441,89,all,0
131,0.10687022900763359,14,7.402504941276007,0.8641137810330827,0.6182894606018712,89,first_order,1
54,0.05555555555555555,3,4.182276018096301,0.8453262388853472,0.7019728582615015,89,second_order,0
186,0.10215053763440861,19,5.293386789610306,0.9113971794661319,0.6622077125779121,90,all,0
132,0.07575757575757576,10,4.751979074252413,0.7728261448667211,0.5952433084737938,90,first_order,0
54,0.1111111111111111,6,5.164087683548203,1.0342428715037597,0.7445967357764335,90,second_order,0
185,0.13513513513513514,25,5.263562138717859,1.0323797732552011,0.7642696760389518,91,all,1
132,0.13636363636363635,18,5.293386789610306,0.9342469097498821,0.6303631946664653,91,first_order,0
54,0.07407407407407407,4,3.863592381570207,0.7860149566497048,0.6128116346560446,91,second_order,0
185,0.08108108108108109,15,6.691101557193222,0.9034919295444744,0.689820711327864,92,all,1
131,0.11450381679389313,15,7.402504941276007,0.9929721485723912,0.6333560007461502,92,first_order,1
54,0.07407407407407407,4,6.107143258536974,0.8846350036225076,0.6259214474287076,92,second_order,0
185,0.10810810810810811,20,7.402504941276007,0.9166161676264898,0.6469102300243715,93,all,1
132,0.12878787878787878,17,4.751979074252413,0.9466403453632743,0.7478607864752211,93,first_order,0
54,0.037037037037037035,2,4.182276018096301,0.7719162646293837,0.6259293903132244,93,second_order,0
186,0.11290322580645161,21,7.402504941276007,0.9757070244797955,0.7465676165267594,94,all,0
132,0.08333333333333333,11,5.164087683548203,0.8400260643136472,0.6262003124939584,94,first_order,0
54,0.1111111111111111,6,4.840509145429005,1.100937569513415,0.8123939453358009,94,second_order,0
186,0.05913978494623656,11,6.107143258536974,0.8256780661854421,0.6761207214852251,95,all,0
132,0.11363636363636363,15,4.929663571963915,0.8934332529095579,0.6637834722745322,95,first_order,0
54,0.05555555555555555,3,5.6157714726161645,0.9737741209728887,0.7902967847407432,95,second_order,0
185,0.0918918918918919,17,7.402504941276007,0.9174557222241024,0.659677293414314,96,all,1
132,0.07575757575757576,10,5.164087683548203,0.8037763575629079,0.5943559026234444,96,first_order,0
54,0.12962962962962962,7,4.255759867545777,0.8774078076072277,0.6366228141123604,96,second_order,0
185,0.10270270270270271,19,5.293386789610306,0.8532675773150254,0.598169278731021,97,all,1
132,0.11363636363636363,15,5.185106371957386,0.9143554787538816,0.6259002263137201,97,first_order,0
54,0.18518518518518517,10,4.255759867545777,1.0724517463240242,0.8620994016267776,97,second_order,0
185,0.08648648648648649,16,4.182276018096301,0.8022791201756687,0.54553663944886,98,all,1
132,0.11363636363636363,15,7.402504941276007,0.963227633052562,0.6465166470802322,98,first_order,0
